Orthogroup	species05.transcriptome.dna.fa.transdecoder.pep_defl	species02.transcriptome.dna.fa.transdecoder.pep_defl
OG0000000	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000095t1_181-7299.p1	species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000015t1_133-7224.p1
OG0000001	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000868t1_10-3303.p1	species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000102t1_63-4367.p1
OG0000002	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000708t1_348-3647.p1	species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000325t1_100-3249.p1
OG0000003	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000734t1_64-3573.p1	species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000229t1_94-3615.p1
OG0000004	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000420t1_2847-4580.p1	species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000538t1_78-2753.p1
OG0000005	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000959t1_143-3274.p1	species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000415t1_140-3058.p1
OG0000006	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm001147t1_436-3354.p1	species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000418t1_146-3058.p1
OG0000007	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm001200t1_272-3136.p1	species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000485t1_109-2877.p1
OG0000008	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm001113t1_46-2982.p1	species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000270t1_162-3485.p1
OG0000009	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000861t1_16-3294.p1	species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000278t1_62-3343.p1
OG0000010	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm007313t1_131-1367.p1	species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000474t1_180-3044.p1
OG0000011	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm001197t1_12-2939.p1	species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000529t1_98-2788.p1
OG0000013	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm001737t1_290-2161.p1	species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000507t1_112-2835.p1
OG0000014	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000060t1_104-8080.p1	species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000009t1_62-7585.p1
OG0000015	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000707t1_80-3610.p1	species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000208t1_110-3703.p1
OG0000016	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm001263t1_102-2882.p1	species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000471t1_91-2877.p1
OG0000017	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm001264t1_149-2833.p1	species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000495t1_162-2912.p1
OG0000020	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000465t1_126-4364.p1	species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000202t1_1-3915.p1
OG0000021	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000665t1_172-3822.p1	species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm001044t1_155-3857.p1
OG0000022	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000550t1_219-3740.p1	species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000204t1_165-3773.p1
OG0000023	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000664t1_827-2878.p1	species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000201t1_65-3682.p1
OG0000024	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm002453t1_108-2090.p1	species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000300t1_21-3717.p1
OG0000025	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000798t2_133-3474.p1	species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000273t1_134-3442.p1
OG0000026	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000541t1_359-3991.p1	species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000137t1_122-4129.p1
OG0000029	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm001082t1_204-3116.p1	species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000400t1_111-3059.p1
