HOG	OG	Gene Tree Parent Clade	species01.transcriptome.dna.fa.transdecoder.pep_defl	species02.transcriptome.dna.fa.transdecoder.pep_defl	species03.transcriptome.dna.fa.transdecoder.pep_defl	species04.transcriptome.dna.fa.transdecoder.pep_defl	species05.transcriptome.dna.fa.transdecoder.pep_defl	species06.transcriptome.dna.fa.transdecoder.pep_defl	species07.transcriptome.dna.fa.transdecoder.pep_defl	species08.transcriptome.dna.fa.transdecoder.pep_defl	species09.transcriptome.dna.fa.transdecoder.pep_defl	species10.transcriptome.dna.fa.transdecoder.pep_defl	species11.transcriptome.dna.fa.transdecoder.pep_defl	species12.transcriptome.dna.fa.transdecoder.pep_defl
N5.HOG0000000	OG0000000	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm000215t1_84-7202.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000046t1_109-7233.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm000163t1_54-7178.p1	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000095t1_181-7299.p1			species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm000169t1_1-6654.p1				
N5.HOG0000001	OG0000001	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm000891t1_199-4410.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000592t1_1093-4455.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm000683t1_262-4464.p1	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000868t1_10-3303.p1			species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm000588t1_485-4690.p1				
N5.HOG0000002	OG0000002	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001349t1_522-3836.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000513t1_154-3480.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001054t1_324-3665.p1	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000708t1_348-3647.p1			species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm000918t1_337-3663.p1				
N5.HOG0000003	OG0000003	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001385t1_145-3645.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm001781t1_138-3639.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001114t1_96-3587.p1	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000734t1_64-3573.p1							
N5.HOG0000004	OG0000004	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001552t2_278-1702.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm003758t1_0-1376.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm000403t1_3620-5206.p1	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000420t1_2847-4580.p1			species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm000299t1_3741-5498.p1				
N5.HOG0000005	OG0000005	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001748t1_101-3229.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm001716t1_50-2035.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001353t1_88-3270.p1	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000959t1_143-3274.p1			species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm001149t1_258-3443.p1				
N5.HOG0000006	OG0000006	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm002013t1_129-3047.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000782t1_198-3110.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001640t1_196-3108.p1	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm001147t1_436-3354.p1			species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm001411t1_201-3119.p1				
N5.HOG0000007	OG0000007	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm002098t1_172-3030.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000813t1_139-3003.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001678t1_47-2914.p1	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm001200t1_272-3136.p1							
N5.HOG0000008	OG0000008	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001479t1_94-3492.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000529t1_69-3467.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001177t1_70-3468.p1	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm001113t1_46-2982.p1							
N5.HOG0000009	OG0000009	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001561t1_75-3353.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000583t1_6-3284.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001268t1_9-3287.p1	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000861t1_16-3294.p1							
