HOG	OG	Gene Tree Parent Clade	species01.transcriptome.dna.fa.transdecoder.pep_defl	species02.transcriptome.dna.fa.transdecoder.pep_defl	species03.transcriptome.dna.fa.transdecoder.pep_defl	species04.transcriptome.dna.fa.transdecoder.pep_defl	species05.transcriptome.dna.fa.transdecoder.pep_defl	species06.transcriptome.dna.fa.transdecoder.pep_defl	species07.transcriptome.dna.fa.transdecoder.pep_defl	species08.transcriptome.dna.fa.transdecoder.pep_defl	species09.transcriptome.dna.fa.transdecoder.pep_defl	species10.transcriptome.dna.fa.transdecoder.pep_defl	species11.transcriptome.dna.fa.transdecoder.pep_defl	species12.transcriptome.dna.fa.transdecoder.pep_defl
N1.HOG0000000	OG0000000	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000015t1_133-7224.p1				species06.transcriptome.dna.fa.transdecoder.pep|AseaqSEVm000107t1_145-7302.p1	species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm000116t1_140-7267.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000082t1_2-4888.p1	species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm000013t1_180-7301.p1	species11.transcriptome.dna.fa.transdecoder.pep|GamcheEVm000049t1_156-7334.p1	
N1.HOG0000001	OG0000001	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000102t1_63-4367.p1				species06.transcriptome.dna.fa.transdecoder.pep|AseaqSEVm000713t1_8-3907.p1	species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm000694t1_154-4365.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000155t1_453-4658.p1	species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm000957t1_124-2838.p1	species11.transcriptome.dna.fa.transdecoder.pep|GamcheEVm000319t3_121-4359.p1	
N1.HOG0000002	OG0000002	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000325t1_100-3249.p1				species06.transcriptome.dna.fa.transdecoder.pep|AseaqSEVm001078t1_153-3440.p1	species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001082t1_353-3622.p1			species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm001142t1_14-2545.p1	species11.transcriptome.dna.fa.transdecoder.pep|GamcheEVm000535t2_247-3765.p1	
N1.HOG0000003	OG0000003	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000229t1_94-3615.p1				species06.transcriptome.dna.fa.transdecoder.pep|AseaqSEVm000918t1_135-3533.p1	species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001130t1_121-3627.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000318t1_254-3760.p1	species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm000468t1_101-3604.p1	species11.transcriptome.dna.fa.transdecoder.pep|GamcheEVm000600t2_115-3609.p1	
N1.HOG0000004	OG0000004	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000538t1_78-2753.p1				species06.transcriptome.dna.fa.transdecoder.pep|AseaqSEVm001005t1_1778-3466.p1	species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm004350t1_396-2084.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm001369t1_599-2272.p1	species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm001916t1_335-1936.p1	species11.transcriptome.dna.fa.transdecoder.pep|GamcheEVm000714t2_63-3371.p1	
N1.HOG0000005	OG0000005	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000415t1_140-3058.p1				species06.transcriptome.dna.fa.transdecoder.pep|AseaqSEVm001178t1_109-3261.p1	species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001420t1_120-3299.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000480t1_135-3236.p1		species11.transcriptome.dna.fa.transdecoder.pep|GamcheEVm000807t1_147-3305.p1	
N1.HOG0000006	OG0000006	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000418t1_146-3058.p1					species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001713t1_457-3366.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000600t1_400-3300.p1	species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm000788t1_526-3432.p1	species11.transcriptome.dna.fa.transdecoder.pep|GamcheEVm002772t1_0-1961.p1	
N1.HOG0000007	OG0000007	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000485t1_109-2877.p1				species06.transcriptome.dna.fa.transdecoder.pep|AseaqSEVm001474t1_71-2908.p1	species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001735t1_84-2960.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000811t1_189-2747.p1	species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm000822t1_103-2949.p1	species11.transcriptome.dna.fa.transdecoder.pep|GamcheEVm000950t1_22-2955.p1	
N1.HOG0000008	OG0000008	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000270t1_162-3485.p1				species06.transcriptome.dna.fa.transdecoder.pep|AseaqSEVm000976t1_173-3568.p1	species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001203t1_41-3439.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000363t1_31-3429.p1	species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm000504t1_44-3442.p1		
N1.HOG0000009	OG0000009	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000278t1_62-3343.p1				species06.transcriptome.dna.fa.transdecoder.pep|AseaqSEVm001047t1_113-3406.p1	species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001306t1_9-3287.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000407t1_17-3295.p1		species11.transcriptome.dna.fa.transdecoder.pep|GamcheEVm000801t1_2-3283.p1	
