HOG	OG	Gene Tree Parent Clade	species01.transcriptome.dna.fa.transdecoder.pep_defl	species02.transcriptome.dna.fa.transdecoder.pep_defl	species03.transcriptome.dna.fa.transdecoder.pep_defl	species04.transcriptome.dna.fa.transdecoder.pep_defl	species05.transcriptome.dna.fa.transdecoder.pep_defl	species06.transcriptome.dna.fa.transdecoder.pep_defl	species07.transcriptome.dna.fa.transdecoder.pep_defl	species08.transcriptome.dna.fa.transdecoder.pep_defl	species09.transcriptome.dna.fa.transdecoder.pep_defl	species10.transcriptome.dna.fa.transdecoder.pep_defl	species11.transcriptome.dna.fa.transdecoder.pep_defl	species12.transcriptome.dna.fa.transdecoder.pep_defl
N4.HOG0000000	OG0000000	n0							species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm000116t1_140-7267.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000082t1_2-4888.p1	species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm000013t1_180-7301.p1		
N4.HOG0000001	OG0000001	n0							species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm000694t1_154-4365.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000155t1_453-4658.p1	species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm000957t1_124-2838.p1		
N4.HOG0000002	OG0000002	n0							species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001082t1_353-3622.p1			species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm001142t1_14-2545.p1		
N4.HOG0000003	OG0000003	n0							species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001130t1_121-3627.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000318t1_254-3760.p1	species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm000468t1_101-3604.p1		
N4.HOG0000004	OG0000004	n0							species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm004350t1_396-2084.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm001369t1_599-2272.p1	species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm001916t1_335-1936.p1		
N4.HOG0000005	OG0000005	n0							species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001420t1_120-3299.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000480t1_135-3236.p1			
N4.HOG0000006	OG0000006	n0							species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001713t1_457-3366.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000600t1_400-3300.p1	species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm000788t1_526-3432.p1		
N4.HOG0000007	OG0000007	n0							species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001735t1_84-2960.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000811t1_189-2747.p1	species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm000822t1_103-2949.p1		
N4.HOG0000008	OG0000008	n0							species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001203t1_41-3439.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000363t1_31-3429.p1	species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm000504t1_44-3442.p1		
N4.HOG0000009	OG0000009	n0							species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001306t1_9-3287.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000407t1_17-3295.p1			
N4.HOG0000010	OG0000010	n0							species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001338t1_103-3309.p1			species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm000570t1_187-3381.p1		
N4.HOG0000011	OG0000011	n0									species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm001818t1_1-1827.p1	species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm001240t1_5-2437.p1		
N4.HOG0000012	OG0000012	n0							species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001597t1_269-3277.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000718t1_30-2684.p1	species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm000700t1_57-3077.p1		
N4.HOG0000013	OG0000013	n0							species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm002038t1_1007-3031.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000780t1_500-2674.p1	species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm001005t1_656-2674.p1		
N4.HOG0000014	OG0000014	n0							species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm000103t1_16-7977.p1					
N4.HOG0000015	OG0000015	n0							species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001090t1_100-3633.p1					
N4.HOG0000016	OG0000016	n0							species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001865t1_100-2880.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000662t1_98-2878.p1	species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm000864t1_114-2894.p1		
N4.HOG0000017	OG0000017	n0							species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001885t1_30-2699.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000990t1_1-2583.p1			
N4.HOG0000018	OG0000018	n0							species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm000588t1_99-4511.p1					
N4.HOG0000019	OG0000019	n0							species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm000133t1_193-5394.p1					
N4.HOG0000020	OG0000020	n0							species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm000683t1_142-4356.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000147t1_127-4323.p1	species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm000225t1_143-4360.p1		
N4.HOG0000021	OG0000021	n0							species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001033t1_123-3770.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000278t1_131-3778.p1	species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm000397t1_153-3800.p1		
N4.HOG0000022	OG0000023	n0									species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm004251t1_220-1146.p1			
N4.HOG0000023	OG0000024	n0							species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001141t1_107-3571.p1					
N4.HOG0000024	OG0000025	n0							species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001228t1_125-3451.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000372t1_276-3620.p1			
N4.HOG0000025	OG0000026	n0									species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000197t1_341-3970.p1			
N4.HOG0000026	OG0000027	n0							species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm000062t1_509-9357.p1			species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm000084t1_2-5521.p1		
N4.HOG0000027	OG0000028	n0							species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm000999t1_226-3714.p1					
