HOG	OG	Gene Tree Parent Clade	species01.transcriptome.dna.fa.transdecoder.pep_defl	species02.transcriptome.dna.fa.transdecoder.pep_defl	species03.transcriptome.dna.fa.transdecoder.pep_defl	species04.transcriptome.dna.fa.transdecoder.pep_defl	species05.transcriptome.dna.fa.transdecoder.pep_defl	species06.transcriptome.dna.fa.transdecoder.pep_defl	species07.transcriptome.dna.fa.transdecoder.pep_defl	species08.transcriptome.dna.fa.transdecoder.pep_defl	species09.transcriptome.dna.fa.transdecoder.pep_defl	species10.transcriptome.dna.fa.transdecoder.pep_defl	species11.transcriptome.dna.fa.transdecoder.pep_defl	species12.transcriptome.dna.fa.transdecoder.pep_defl
N9.HOG0000000	OG0000000	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000046t1_109-7233.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm000163t1_54-7178.p1				species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm000169t1_1-6654.p1				
N9.HOG0000001	OG0000001	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000592t1_1093-4455.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm000683t1_262-4464.p1				species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm000588t1_485-4690.p1				
N9.HOG0000002	OG0000002	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000513t1_154-3480.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001054t1_324-3665.p1				species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm000918t1_337-3663.p1				
N9.HOG0000003	OG0000003	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm001781t1_138-3639.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001114t1_96-3587.p1								
N9.HOG0000004	OG0000004	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm003758t1_0-1376.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm000403t1_3620-5206.p1				species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm000299t1_3741-5498.p1				
N9.HOG0000005	OG0000005	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm001716t1_50-2035.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001353t1_88-3270.p1				species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm001149t1_258-3443.p1				
N9.HOG0000006	OG0000006	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000782t1_198-3110.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001640t1_196-3108.p1				species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm001411t1_201-3119.p1				
N9.HOG0000007	OG0000007	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000813t1_139-3003.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001678t1_47-2914.p1								
N9.HOG0000008	OG0000008	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000529t1_69-3467.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001177t1_70-3468.p1								
N9.HOG0000009	OG0000009	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000583t1_6-3284.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001268t1_9-3287.p1								
N9.HOG0000010	OG0000010	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000600t1_116-3253.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001273t1_147-3281.p1								
N9.HOG0000011	OG0000011	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000822t1_2-2941.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001598t1_2-2947.p1								
N9.HOG0000012	OG0000012	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000721t1_33-3047.p1					species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm001336t1_50-3031.p1				
N9.HOG0000013	OG0000013	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm001121t1_225-2444.p1									
N9.HOG0000014	OG0000014	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000032t1_28-7995.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm000125t1_400-8376.p1				species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm000089t1_110-8077.p1				
N9.HOG0000015	OG0000015	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000463t1_93-3686.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001051t1_101-3652.p1				species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm000865t1_94-3681.p1				
N9.HOG0000016	OG0000016	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000942t1_251-2869.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001599t1_14-2722.p1								
N9.HOG0000017	OG0000017	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000900t1_231-2882.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001853t1_62-2713.p1								
